channel, amplitude
1, 46.40
2, 54.22
3, 48.29
4, 53.41
5, 51.25
6, 50.44
7, 52.87
8, 55.57
9, 57.46
10, 58.53
11, 59.61
12, 58.53
13, 60.15
14, 61.77
15, 62.04
16, 62.85
17, 63.93
18, 65.28
19, 66.35
20, 67.16
21, 68.51
22, 69.86
23, 69.86
24, 71.48
25, 72.29
26, 74.17
27, 74.17
28, 75.25
29, 75.79
30, 76.06
