channel, amplitude
1, 56.86
2, 59.70
3, 60.06
4, 61.12
5, 62.54
6, 62.9
7, 64.7
8, 65.7
9, 67.87
10, 69.64
11, 72.84
12, 78.52
13, 108.34
14, 79.58
15, 73.19
16, 70.35
17, 73.19
18, 98.75
19, 63.60
20, 93.78
21, 70.71
22, 91.65
23, 91.65
24, 86.33
25, 87.75
26, 85.62
27, 85.26
28, 83.84
29, 83.49
30, 82.78
