channel, amplitude
1, 41.01
2, 53.68
3, 56.38
4, 66.89
5, 68.24
6, 66.08
7, 66.09
8, 72.29
9, 74.98
10, 79.84
11, 83.07
12, 79.57
13, 77.41
14, 76.60
15, 75.25
16, 75.25
17, 72.56
18, 63.66
19, 66.08
20, 70.40
21, 70.40
22, 65.82
23, 66.89
24, 63.66
25, 57.73
26, 50.44
27, 37.77
28, 37.23
29, 38.58
30, 41.01
