channel, amplitude
1, 66.89
2, 71.21
3, 71.48
4, 63.93
5, 68.24
6, 70.94
7, 70.67
8, 68.78
9, 69.59
10, 69.86
11, 70.40
12, 69.59
13, 70.67
14, 69.86
15, 69.86
16, 69.86
17, 69.05
18, 69.59
19, 70.67
20, 70.13
21, 70.40
22, 70.67
23, 70.67
24, 69.86
25, 69.86
26, 69.59
27, 69.59
28, 69.59
29, 69.86
30, 68.51
