channel, amplitude
1, 9
3, 8
5, 8
7, 8
9, 76
11, 75
13, 72
15, 70
17, 68
19, 62
21, 60
23, 58
25, 57
27, 54
29, 52
31, 51
33, 49
35, 48
37, 46
39, 45
41, 43
43, 41
45, 41
47, 40
49, 40
51, 39
53, 38
55, 38
57, 38
59, 37
61, 37
63, 38
65, 38
67, 39
69, 39
71, 40
73, 40
75, 40
77, 41
79, 42
81, 43
83, 43
85, 43
87, 44
89, 44
91, 45
93, 45
95, 46
97, 46
99, 47
100, 48
